,A01,A02,A03,A09,A10,A11,A12,A14,A15,A16,S01,S02,S03,S04
2018/3/6 11:55,21.6,79.3,0,577,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.5,61.5,1.3,8.7
2018/3/6 12:00,21.5,79.9,0,576,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.5,63.2,1.3,8.6
2018/3/6 12:05,21.5,79.1,0,580,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.3,61,1.3,8.6
2018/3/6 12:10,21.5,79,0,579,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.3,60.7,1.3,8.6
2018/3/6 12:15,21.4,79,0,579,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.2,62,1.3,8.7
2018/3/6 12:20,21.3,80,0,578,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.2,62.5,1.3,8.6
2018/3/6 12:25,21.3,81.7,0,580,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.2,60.9,1.3,8.7
2018/3/6 12:30,21.2,79.7,0,580,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.2,62,1.3,8.7
2018/3/6 12:35,21.2,78.8,0,584,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.2,62.5,1.3,8.7
2018/3/6 12:40,21.1,78.1,0,582,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.1,62.7,1.3,8.7
2018/3/6 12:45,21,78.2,0,576,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23.1,62.2,1.3,8.7
2018/3/6 12:50,20.9,78.6,0,574,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23,62,1.3,8.7
2018/3/6 12:55,20.9,78.9,0,576,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23,61.7,1.3,8.7
2018/3/6 13:00,20.9,80.9,0,577,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23,61.5,1.3,8.7
2018/3/6 13:05,20.9,81.7,0,576,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,23,61.7,1.3,8.7
2018/3/6 13:10,20.8,81.4,0,578,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.7,61.2,1.3,8.7
2018/3/6 13:15,20.8,81.5,0,581,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.7,61,1.3,8.7
2018/3/6 13:20,20.8,81.2,0,581,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.7,60.9,1.3,8.7
2018/3/6 13:25,20.7,80.8,0,458,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.7,61.7,1.3,8.7
2018/3/6 13:30,20.7,81.8,0,464,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.6,61.7,1.3,8.7
2018/3/6 13:35,20.7,81.9,0,462,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.6,61.2,1.3,8.7
2018/3/6 13:40,20.6,81.7,0,462,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.6,61.4,1.3,8.7
2018/3/6 13:45,20.6,82.7,0,462,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.5,61.5,1.3,8.7
2018/3/6 13:50,20.5,82.7,0,461,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.5,61.2,1.3,8.7
2018/3/6 13:55,20.5,81.8,0,462,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.5,61,1.3,8.7
2018/3/6 14:00,20.5,82.2,0,460,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.3,60.7,1.3,8.7
2018/3/6 14:05,20.5,83.1,0,461,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.2,61.5,1.3,8.7
2018/3/6 14:10,20.4,83.6,0,461,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.2,60.5,1.3,8.7
2018/3/6 14:15,20.4,83.5,0,465,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.2,61,1.3,8.7
2018/3/6 14:20,20.4,84.2,0,465,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.2,60.7,1.3,8.7
2018/3/6 14:25,20.4,83.8,0,465,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.1,61,1.3,8.7
2018/3/6 14:30,20.3,84.7,0,465,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.1,61,1.3,8.7
2018/3/6 14:35,20.3,85.1,0,466,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.1,61,1.3,8.7
2018/3/6 14:40,20.3,85.1,0,466,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22.1,61,1.3,8.7
2018/3/6 14:45,20.2,85.4,0,468,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22,61,1.3,8.7
2018/3/6 14:50,20.1,85,0,466,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22,61,1.3,8.7
2018/3/6 14:55,20.1,85.5,0,464,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22,60.7,1.3,8.7
2018/3/6 15:00,19.9,84,0,466,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,22,60.9,1.3,8.7
2018/3/6 15:05,19.9,84.9,0,468,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.8,61,1.3,8.7
2018/3/6 15:10,19.9,85.3,0,468,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.7,60,1.3,8.7
2018/3/6 15:15,19.8,85.6,0,470,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.7,60.7,1.3,8.7
2018/3/6 15:20,19.7,86.2,0,474,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.7,60.5,1.3,8.7
2018/3/6 15:25,19.6,86.5,0,479,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.7,60.9,1.3,8.7
2018/3/6 15:30,19.6,85.8,0,481,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.6,61,1.3,8.7
2018/3/6 15:35,19.5,86.7,0,482,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.6,60,1.3,8.7
2018/3/6 15:40,19.5,88.3,0,484,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.6,60.5,1.3,8.7
2018/3/6 15:45,19.5,88.9,0,487,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.6,60.2,1.3,8.7
2018/3/6 15:50,19.5,89,0,485,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.5,60,1.3,8.7
2018/3/6 15:55,19.5,89.2,0,480,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.5,60.5,1.3,8.7
2018/3/6 16:00,19.5,88.9,0,481,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.3,60.4,1.3,8.7
2018/3/6 16:05,19.5,89.5,0,484,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.3,59.9,1.3,8.7
2018/3/6 16:10,19.6,89.6,0,482,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.2,59.7,1.3,8.7
2018/3/6 16:15,19.6,90.2,0,483,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.2,60.2,1.3,8.7
2018/3/6 16:20,19.6,89.8,0,485,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.2,60.5,1.3,8.7
2018/3/6 16:25,19.7,90.8,0,492,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.2,59.7,1.3,8.7
2018/3/6 16:30,19.7,91.1,0,492,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.2,59.7,1.3,8.7
2018/3/6 16:35,19.8,91.6,0,496,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.2,59.7,1.3,8.7
2018/3/6 16:40,19.9,92.1,0,497,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.1,59.2,1.3,8.7
2018/3/6 16:45,19.9,92,0,499,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.1,59.7,1.3,8.7
2018/3/6 16:50,19.9,92,0,499,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.1,59.7,1.3,8.7
2018/3/6 16:55,19.9,92,0,499,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.1,59.7,1.3,8.7
2018/3/6 17:00,19.9,91.4,0,492,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.1,59.5,1.3,8.7
2018/3/6 17:05,19.9,91.3,0,493,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.1,59.5,1.3,8.7
2018/3/6 17:10,19.9,91.3,0,493,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21.1,59.4,1.3,8.7
2018/3/6 17:15,19.9,91.8,0,493,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21,60,1.3,8.7
2018/3/6 17:20,20,91.9,0,492,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21,59.7,1.3,8.7
2018/3/6 17:25,20,92,0,492,25.06879725,76.256205,8652.303625,201.4012048,0.791875855,1,21,59.4,1.2,8.7
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
